Designación                     d x peso,,Peralte,Alma,,Patin,,Área,Pandeo local,,X - X,,,,Propiedades torsión,
,,d    ,h,tw   , bf   , tf   ,,b / 2tf,h / tw,I,Z,S,r,J,Cw
mm,kg/m,mm,mm,mm,mm,mm,cm2,,,cm4,cm3,cm3,cm,cm4,cm6
102,19.4,106,74,7.2,104,8.8,24.8,5.9,10.6,471,103,90,4.4,6,3760
,,,,,,,,,,,,,,,
127,23.9,128,94,6.1,127,9.2,30.4,7,15.4,891,158,141,5.4,8,10903
127,28.3,131,93,6.9,128,11,35.9,5.9,13.7,1095,191,168,5.5,13,13668
,,,,,,,,,,,,,,,
152,12.7,149,125,4.4,101,5,16.3,10.2,29.1,621,94,84,6.2,1,4243
152,13.4,150,126,4.4,101,5.5,17.3,9.2,29.2,683,103,92,6.3,2,4753
152,17.9,154,126,5.9,102,7.2,23,7.2,21.6,920,137,120,6.3,4,6633
152,23.9,160,126,6.7,103,10.3,30.6,5,19.1,1337,192,168,6.6,9,10258
,,,,,,,,,,,,,,,
152,22.4,153,127,5.9,153,6.7,28.6,11.6,21.2,1212,177,160,6.5,4,20543
152,29.8,158,126,6.7,153,9.3,37.9,8.3,18.7,1724,246,220,6.8,10,30345
152,37.3,163,127,8.2,155,11.6,47.4,6.7,15.5,2223,310,274,6.9,19,40280
,,,,,,,,,,,,,,,
203,14.9,201,175,4.4,101,5.3,19.1,9.7,40.5,1282,146,128,8.2,2,8298
203,19.4,203,173,5.9,102,6.5,24.8,7.9,29.9,1649,187,163,8.2,4,10956
203,22.4,206,174,6.3,102,8.1,28.7,6.4,28.1,1998,223,194,8.4,6,13910
,,,,,,,,,,,,,,,
203,26.8,207,173,5.9,134,8.4,34,8,29.9,2577,279,250,8.7,7,32761
203,31.3,211,175,6.4,134,10.2,39.8,6.6,27.5,3135,335,299,8.9,12,40817
,,,,,,,,,,,,,,,
203,35.8,202,160,6.3,166,10.2,45.7,8.2,25.9,3443,379,343,8.7,14,69551
203,41.7,205,161,7.3,167,11.9,53.2,7.1,22.3,4080,446,399,8.8,22,83783
,,,,,,,,,,,,,,,
203,46.2,204,160,7.3,204,11.1,58.9,9.2,22.3,4579,499,451,8.8,22,142324
203,52.1,207,161,7.9,204,12.6,66.5,8.2,20.5,5287,569,512,8.9,32,166224
203,59.6,210,160,9.2,205,14.3,75.5,7.3,17.6,6077,653,582,9,47,194957
203,71.5,216,160,10.2,206,17.4,91,6,15.9,7659,803,708,9.2,82,250007
203,86.4,223,161,13,209,20.6,110.4,5.1,12.4,9491,980,853,9.3,139,316872
203,99.8,229,161,14.5,211,23.8,127.1,4.5,11.1,11322,1149,990,9.4,210,386692
,,,,,,,,,,,,,,,
254,17.9,251,225,4.9,101,5.4,22.9,9.5,46.6,2240,207,179,9.9,2,13668
254,22.4,254,224,5.9,102,6.9,28.5,7.5,38.5,2868,263,227,10,4,18341
254,25.4,257,223,6.1,102,8.4,32.2,6.1,36.9,3409,307,266,10.3,6,22852
254,28.3,260,224,6.4,103,10.1,36.3,5.1,35.4,4009,354,309,10.5,10,27928
,,,,,,,,,,,,,,,
254,32.8,260,226,6.1,147,9.2,41.9,8,36.9,4912,427,381,10.8,10,73847
254,38.8,262,224,6.7,147,11.2,49.1,6.6,34,5994,513,458,11,17,92645
254,44.7,267,225,7.7,148,13,57.1,5.7,29.5,7076,600,531,11.1,26,111174
,,,,,,,,,,,,,,,
254,49.2,248,200,7.4,203,11.1,62.7,9.2,27.1,7118,636,574,10.6,24,212412
254,58.1,252,198,8.1,203,13.5,74.2,7.6,25,8700,767,690,10.8,41,266388
254,67,257,199,8.9,204,15.8,85.9,6.5,22.5,10323,900,805,11,63,322243
,,,,,,,,,,,,,,,
254,73,254,200,8.7,254,14.3,93,9,23.1,11322,990,895,11,58,555869
254,80.4,257,199,9.4,254,15.7,102,8.2,21.2,12612,1092,984,11.1,76,623003
254,89.4,260,200,10.7,257,17.3,113.6,7.5,18.7,14194,1223,1094,11.2,103,708935
254,101.3,265,199,12,257,19.6,129.1,6.6,16.7,16400,1398,1241,11.3,148,832461
254,114.7,270,200,13.5,260,22.1,145.9,5.9,14.8,18939,1600,1408,11.4,213,974785
254,131,275,199,15.4,262,25.2,167.1,5.3,13,22227,1852,1615,11.5,313,1162760
254,148.9,282,198,17.3,262,28.5,189.7,4.6,11.6,25932,2131,1836,11.7,454,1382960
254,166.8,290,200,19.2,265,31.8,212.3,4.2,10.4,29803,2409,2065,11.8,629,1616586
,,,,,,,,,,,,,,,
305,20.9,303,275,5.1,101,5.8,26.9,8.9,54.3,3688,286,245,11.7,3,21590
305,23.9,305,275,5.6,102,6.8,30.4,7.6,49.4,4288,330,281,11.9,4,26021
305,28.3,310,276,6,102,8.9,36,5.8,46.2,5412,405,350,12.2,7,35178
305,32.8,313,275,6.7,103,10.8,41.9,4.8,41.8,6494,481,417,12.5,12,44040
,,,,,,,,,,,,,,,
305,38.8,310,274,5.9,165,9.7,49.4,8.6,47.2,8492,610,548,13.1,12,163001
305,44.7,313,275,6.7,166,11.2,56.8,7.5,41.8,9907,707,633,13.2,19,193346
305,52.1,318,276,7.7,167,13.3,66.5,6.4,36.2,11863,840,748,13.3,31,236043
,,,,,,,,,,,,,,,
305,59.6,303,251,7.5,204,13.1,75.5,7.8,33.6,12779,935,844,13,38,386692
305,67,308,252,8.6,205,14.7,84.6,7,29.6,14485,1053,946,13.1,52,443084
305,74.5,310,252,9.4,206,16.3,94.2,6.4,26.8,16275,1179,1053,132,71,504847
,,,,,,,,,,,,,,,
305,78.9,308,248,8.8,254,14.7,100.7,8.7,28.1,17690,1277,1157,13.3,66,848573
305,86.4,310,246,9.2,254,16.3,109.7,7.9,27,19771,1416,1279,13.4,87,958673
,,,,,,,,,,,,,,,
305,96.8,308,246,10,305,15.4,123.3,10,24.9,22186,1587,1441,13.4,91,1552137
305,107.2,313,247,11,305,17.1,136.2,9,22.6,24850,1770,1597,13.5,122,1756225
305,117.6,315,247,12,308,18.7,149.7,8.3,20.7,27555,1951,1754,13.6,160,1968368
305,129.5,318,246,13.1,308,20.6,165.2,7.5,18.9,30802,2164,1934,13.7,212,2220792
